District,State_UT,NFHS_Households_Surveyed,Female_6plus_Ever_Attended_School_pct,Population_Below_15_pct,Sex_Ratio_Females_per_1000_Males,Households_Electricity_pct,Improved_Drinking_Water_pct,Improved_Sanitation_pct,Clean_Cooking_Fuel_pct,Health_Insurance_Coverage_pct,Women_15_49_Literate_pct,ANC_4plus_pct,Institutional_Births_pct,Skilled_Birth_Attendance_pct,Fully_Vaccinated_12_23m_pct,Diarrhoea_Taken_to_Health_Facility_pct,ARI_Taken_to_Health_Facility_pct,Under5_Stunted_pct,Children_6_59m_Anaemic_pct,Population_2011,Rural_Population_2011,Sub_Centres,PHCs,CHCs,Sub_Divisional_Hospitals,District_Hospitals,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural,PHC_coverage_vs_general_norm,CHC_coverage_vs_general_norm,District_Match_Score,District_Match_Method
Lohardaga,Jharkhand,980,65.55,32.38,1051.74,99.21,78.43,67.68,33.95,58.87,67.46,37.65,84.11,92.1,88.19,,,40.73,68.66,461790,404379,74,7,4,0,1,1.731049337379043,0.9891710499308816,18.29966442372131,0.5193148012137129,1.187005259917058,100.0,Exact
Purbi Singhbhum,Jharkhand,989,74.12,23.37,1015.95,95.72,89.72,70.21,57.56,50.72,77.36,40.67,94.03,96.38,88.79,,,35.88,67.37,2293919,1019328,243,25,11,1,1,2.452596220254913,1.0791423369121618,23.839235260877757,0.7357788660764739,1.294970804294594,96.2962962962963,Fuzzy
Palamu,Jharkhand,969,63.48,34.56,1183.06,95.77,94.89,46.28,25.41,55.77,65.37,33.83,74.85,83.37,80.93,,,43.71,68.2,1939869,1713866,171,24,7,2,0,1.400342850607924,0.4084333314273111,9.977442810581458,0.4201028551823771,0.4901199977127733,100.0,Exact
Latehar,Jharkhand,964,60.53,35.94,1115.12,88.96,79.2,51.4,14.23,52.23,58.74,43.12,70.29,83.75,74.98,,,40.1,68.31,726978,675120,97,7,6,0,1,1.0368527076667853,0.8887308922858158,14.367816091954024,0.3110558123000355,1.066477070742979,100.0,Exact
Hazaribagh,Jharkhand,914,66.1,32.56,1082.55,98.17,85.49,55.64,36.81,55.0,69.67,36.41,82.03,85.62,70.11,,67.27,37.8,62.11,1734495,1459188,140,16,8,1,0,1.09650024534193,0.548250122670965,9.594377146741886,0.3289500736025789,0.6579001472051579,100.0,Exact
Ramgarh,Jharkhand,938,68.39,27.85,955.02,98.4,76.71,64.2,33.15,49.67,72.73,40.92,78.98,89.71,81.78,,65.65,35.25,59.65,949443,530488,54,8,4,0,1,1.5080454223281206,0.7540227111640603,10.179306600714812,0.4524136266984361,0.9048272533968722,100.0,Exact
Dumka,Jharkhand,942,59.68,31.72,1067.41,93.19,92.59,41.46,18.09,45.37,55.62,39.27,60.27,68.97,78.9,,,38.17,75.12,1321442,1231264,248,35,10,0,0,2.8426072718767057,0.8121735062504873,20.141902955012085,0.8527821815630117,0.9746082075005849,100.0,Exact
Jamtara,Jharkhand,948,63.65,29.53,996.01,92.22,93.0,52.84,20.25,62.91,57.37,35.98,75.37,82.51,78.82,,50.11,41.92,72.84,791042,715296,129,13,4,0,1,1.817429427817295,0.5592090547130139,18.0344920144947,0.5452288283451886,0.6710508656556167,100.0,Exact
Ranchi,Jharkhand,979,73.32,25.43,1004.47,99.3,86.27,77.19,57.68,43.85,78.4,35.21,87.28,94.65,73.81,,,28.33,62.8,2914253,1656918,324,35,15,1,1,2.1123555903188933,0.9052952529938116,19.554377464666327,0.633706677095668,1.0863543035925736,100.0,Exact
Khunti,Jharkhand,987,63.14,29.81,992.33,92.87,68.59,55.16,18.66,58.17,59.89,37.43,73.77,80.07,71.91,,,38.48,66.85,531885,486903,108,5,5,0,1,1.0268985814422995,1.0268985814422995,22.181009359153677,0.3080695744326899,1.2322782977307596,100.0,Exact
Gumla,Jharkhand,986,65.14,30.71,1023.74,89.08,75.19,50.12,19.13,51.67,69.27,49.29,83.76,90.24,85.28,,,40.23,65.78,1025213,960132,243,2,10,0,1,0.2083046914382605,1.0415234571913028,25.309020009748657,0.0624914074314781,1.2498281486295637,100.0,Exact
Simdega,Jharkhand,988,68.2,30.03,1064.27,84.08,66.74,71.3,15.94,60.63,68.78,34.38,75.73,78.12,79.34,,,42.2,75.37,599578,556634,155,8,6,0,1,1.4372100877776062,1.077907565833205,27.845945450691115,0.4311630263332818,1.2934890789998454,100.0,Exact
Pashchimi Singhbhum,Jharkhand,990,58.42,35.8,1049.26,83.3,79.29,37.74,15.53,46.71,49.83,34.86,67.91,70.08,86.96,71.74,52.23,60.61,73.32,1502338,1284304,343,16,13,1,1,1.2458109606448318,1.0122214055239258,26.70707246882358,0.3737432881934495,1.2146656866287109,97.14285714285714,Fuzzy
Saraikela-Kharsawan,Jharkhand,984,64.37,26.16,995.87,93.49,85.69,60.87,31.53,63.08,68.27,54.39,81.84,89.05,80.87,,,40.02,76.05,1065056,806310,192,13,6,1,1,1.6122831169153302,0.7441306693455371,23.812181419057183,0.4836849350745991,0.8929568032146445,100.0,Exact
Bagalkot,Karnataka,881,67.29,26.5,1007.4,98.88,99.15,51.29,56.64,22.29,69.66,76.21,95.2,91.35,78.58,,79.12,48.26,63.84,1889752,1291906,233,55,8,5,1,4.2572756841442025,0.619240099511884,18.03536789828362,1.2771827052432607,0.7430881194142608,94.11764705882352,Fuzzy
Bidar,Karnataka,914,68.23,27.27,1033.68,98.75,98.88,56.5,65.15,21.44,73.79,55.27,98.98,91.72,74.75,,,36.82,69.33,1703300,1277348,275,58,8,4,0,4.540657675120641,0.6262976103614677,21.52898035617545,1.3621973025361922,0.7515571324337612,100.0,Exact
Raichur,Karnataka,891,55.27,29.29,1033.4,99.68,94.01,53.02,64.92,17.75,54.28,67.45,88.93,83.32,80.21,,,39.79,73.63,1928812,1438464,213,57,6,4,0,3.96256006406834,0.4171115856914041,14.807461292044849,1.188768019220502,0.500533902829685,100.0,Exact
Koppal,Karnataka,872,63.92,28.76,994.25,99.19,95.95,58.79,47.39,20.62,59.8,50.67,90.74,89.18,84.84,,,49.09,70.7,1389920,1156216,173,48,9,3,0,4.151473427110505,0.7784012675832198,14.962602143544112,1.2454420281331515,0.9340815210998636,100.0,Exact
Gadag,Karnataka,892,73.3,24.13,1059.81,98.6,95.53,55.2,56.27,28.27,70.67,68.68,96.19,98.22,74.26,,71.16,45.15,70.31,1064570,685261,188,42,2,4,0,6.129051558457288,0.2918595980217757,27.434802214046908,1.8387154675371864,0.3502315176261307,100.0,Exact
Dharwad,Karnataka,864,78.22,22.09,1021.94,99.38,87.94,79.32,79.05,24.48,81.76,85.21,99.69,98.97,,,,45.17,67.19,1847023,797484,185,53,0,3,1,6.645901359776497,0.0,23.19795757657834,1.9937704079329488,0.0,100.0,Exact
Uttara Kannada,Karnataka,897,81.14,18.16,1011.34,99.12,84.82,89.61,73.42,32.02,84.34,57.88,99.27,99.18,93.61,,,29.56,69.02,1437169,1018188,344,85,3,10,0,8.348163600435283,0.294641068250657,33.78550915940868,2.504449080130585,0.3535692819007884,100.0,Exact
Haveri,Karnataka,875,72.55,25.43,977.51,99.05,99.05,68.87,60.67,28.77,71.52,58.65,97.17,95.82,95.71,,67.99,29.91,66.91,1597668,1242167,310,72,5,6,1,5.796322072635967,0.4025223661552754,24.956386701627075,1.73889662179079,0.4830268393863305,100.0,Exact
Chitradurga,Karnataka,909,72.95,22.45,1023.01,99.78,97.82,63.05,80.59,35.33,75.61,79.32,98.32,95.11,,,,35.98,61.14,1659456,1329923,328,86,11,5,1,6.466539792153381,0.8271155548103162,24.66308199798033,1.939961937646014,0.9925386657723791,100.0,Exact
Davanagere,Karnataka,840,74.9,21.93,967.27,98.82,97.45,83.28,79.07,25.22,75.98,63.05,98.31,88.14,,,,38.41,70.15,1945497,1316487,227,89,4,4,1,6.7604161681809245,0.3038389289070078,17.242859215472695,2.0281248504542773,0.3646067146884094,94.73684210526316,Fuzzy
Udupi,Karnataka,894,81.99,19.49,1147.71,99.57,81.48,94.45,67.77,50.87,90.26,59.4,98.88,90.19,89.93,,,23.12,58.26,1177361,843300,318,62,6,2,1,7.35206925174908,0.711490572749911,37.70900035574528,2.205620775524724,0.8537886872998933,100.0,Exact
Mandya,Karnataka,873,67.69,18.06,1122.17,98.39,98.43,86.67,90.48,39.94,78.3,90.07,99.45,97.27,,,,24.27,58.22,1805769,1497407,410,116,10,6,0,7.746724838337205,0.6678211067532074,27.380665376881502,2.324017451501162,0.8013853281038489,100.0,Exact
Hassan,Karnataka,905,74.38,20.23,1101.64,99.28,96.8,87.87,86.13,36.89,82.04,75.77,100.0,97.1,,,,27.12,63.64,1776421,1399658,468,138,15,7,0,9.85955140470029,1.071690370076119,33.4367395463749,2.9578654214100872,1.2860284440913423,100.0,Exact
Dakshina Kannada,Karnataka,867,83.89,19.84,1062.81,99.83,88.62,97.1,82.04,36.29,92.72,82.0,100.0,91.89,,,,25.1,51.12,2089649,1093563,430,76,8,4,1,6.949759638905119,0.731553646200539,39.321008483278966,2.084927891671536,0.8778643754406468,100.0,Exact
Kodagu,Karnataka,898,83.63,21.23,1168.41,98.72,89.2,93.86,78.32,45.63,88.5,74.36,98.43,94.07,,,,30.41,54.37,554519,473531,196,30,7,2,0,6.335382477599143,1.4782559114398002,41.39116552031441,1.900614743279743,1.77390709372776,100.0,Exact
Yadgir,Karnataka,904,51.88,29.24,1020.25,99.04,95.17,37.37,48.79,16.74,48.05,63.59,93.34,93.04,82.63,,,57.6,75.99,1174271,953594,169,44,6,2,1,4.614122991545669,0.6291985897562274,17.722426944800407,1.3842368974637005,0.755038307707473,100.0,Exact
Kolar,Karnataka,883,71.64,21.75,1029.59,99.46,98.51,89.22,89.92,33.89,78.28,90.91,99.6,99.27,,,,31.09,57.93,1536401,1056328,240,68,2,5,1,6.437394445664604,0.1893351307548413,22.720215690580957,1.931218333699381,0.2272021569058095,100.0,Exact
Chikkaballapura,Karnataka,883,65.87,21.71,1067.01,99.88,98.05,84.91,89.35,26.12,76.32,90.52,98.97,97.48,,,,31.32,58.97,1255104,973985,200,61,2,5,1,6.262930127260686,0.2053419713855962,20.534197138559627,1.878879038178206,0.2464103656627155,100.0,Exact
Ramanagara,Karnataka,878,68.83,18.14,1064.36,99.61,98.34,89.63,91.98,35.71,82.67,88.74,100.0,100.0,,,,15.62,60.2,1082636,814877,241,65,4,3,1,7.976663962782114,0.4908716284788993,29.57501561585368,2.392999188834634,0.5890459541746791,100.0,Exact
Kasaragod,Kerala,922,90.81,24.07,1134.41,99.46,93.16,98.85,73.5,44.01,95.91,91.18,100.0,100.0,92.45,,,25.34,34.29,1307375,798328,247,43,6,5,2,5.386257277710415,0.751570782936337,30.939663897545877,1.6158771833131245,0.9018849395236044,100.0,Exact
Kannur,Kerala,919,96.66,23.89,1202.76,99.66,93.88,99.46,70.39,47.93,99.08,78.27,100.0,100.0,77.7,,,19.36,37.24,2523003,882017,414,86,12,9,3,9.750378960949732,1.3605179945511254,46.93787081201383,2.92511368828492,1.6326215934613506,100.0,Exact
Wayanad,Kerala,919,88.18,21.18,1018.58,96.96,94.09,97.62,55.73,64.75,93.72,94.19,100.0,100.0,,,,31.33,39.35,817420,785840,200,24,9,2,2,3.054056805456582,1.145271302046218,25.450473378804848,0.9162170416369744,1.3743255624554618,100.0,Exact
Kozhikode,Kerala,888,97.68,19.91,1112.48,99.6,93.34,99.63,73.83,61.11,99.05,91.75,100.0,100.0,,,,21.31,32.12,3086293,1013721,401,76,16,7,3,7.49713185383355,1.5783435481754842,39.55723517614808,2.2491395561500647,1.894012257810581,100.0,Exact
Malappuram,Kerala,905,94.9,26.97,1100.62,99.69,97.7,99.85,59.02,42.76,99.15,90.42,100.0,100.0,80.27,,88.45,29.36,47.21,4112920,2295709,588,98,21,7,5,4.268833724134897,0.9147500837431922,25.61300234480938,1.280650117240469,1.0977001004918303,100.0,Exact
Palakkad,Kerala,912,89.62,19.32,1147.87,98.93,94.68,98.96,67.48,53.79,94.4,68.39,100.0,100.0,,,,29.67,51.94,2809934,2133124,504,81,19,6,3,3.7972476049212327,0.8907124011543633,23.627318430621006,1.13917428147637,1.068854881385236,100.0,Exact
Thrissur,Kerala,852,97.79,18.8,1166.59,100.0,93.67,99.5,76.33,48.65,99.41,82.4,100.0,100.0,,,,22.04,48.71,3121200,1024794,471,86,24,6,3,8.391930475783425,2.3419340862651423,45.960456442953415,2.517579142735028,2.810320903518171,100.0,Exact
Ernakulam,Kerala,857,97.21,18.8,1046.03,100.0,98.16,99.31,88.35,46.24,99.32,82.18,99.12,100.0,,,,22.02,36.37,3282388,1048025,410,90,24,11,4,8.587581403115383,2.290021707497436,39.121204169747855,2.576274420934615,2.7480260489969224,100.0,Exact
Idukki,Kerala,857,92.95,19.02,1028.96,98.95,82.28,97.52,54.29,58.1,94.38,74.25,100.0,100.0,,,,24.25,32.03,1108974,1056929,309,41,13,4,2,3.8791631225938543,1.229978551066344,29.235644021500026,1.1637489367781564,1.475974261279613,100.0,Exact
Kottayam,Kerala,867,97.92,18.76,1070.55,99.63,97.14,98.59,72.48,53.19,99.7,55.12,98.69,99.33,,,86.56,23.41,36.81,1974551,1409158,333,59,20,3,5,4.18689742385169,1.4192872623226067,23.6311329176714,1.2560692271555072,1.703144714787128,100.0,Exact
Alappuzha,Kerala,886,97.78,16.63,1107.87,99.92,98.41,99.17,79.21,60.43,99.7,65.68,99.38,100.0,,,79.9,20.08,30.25,2127789,979643,366,65,16,6,4,6.635070122483395,1.6332480301497585,37.36054868967573,1.9905210367450183,1.9598976361797105,100.0,Exact
Pathanamthitta,Kerala,854,97.66,16.41,1173.67,99.63,94.07,98.94,60.12,50.11,99.66,83.91,99.07,99.15,,,,22.67,44.24,1197412,1065799,261,45,12,4,3,4.222184483190545,1.1259158621841454,24.488670002505163,1.2666553449571636,1.3510990346209744,100.0,Exact
Kollam,Kerala,859,96.61,18.89,1170.7,99.77,95.7,97.54,80.14,56.01,98.22,79.28,100.0,100.0,,,92.52,15.49,32.53,2635375,1448217,421,62,16,9,2,4.281126378160179,1.104806807267143,29.0702291162167,1.2843379134480537,1.3257681687205716,100.0,Exact
Thiruvananthapuram,Kerala,833,94.48,20.33,1144.5,99.89,92.89,95.43,72.2,48.68,98.48,55.33,99.45,100.0,,,80.77,19.53,33.03,3301427,1529831,487,88,22,8,7,5.752269368315846,1.4380673420789616,31.83358161783883,1.725680810494754,1.725680810494754,100.0,Exact
Sheopur,Madhya Pradesh,883,53.09,30.97,962.77,98.02,91.08,47.99,22.92,27.11,54.76,41.01,84.16,82.14,65.79,,,45.75,71.59,687861,580509,106,13,4,0,1,2.2394140314792708,0.689050471224391,18.25983748744636,0.6718242094437812,0.8268605654692692,100.0,Exact
Morena,Madhya Pradesh,932,66.95,31.07,964.34,99.46,97.11,62.68,32.57,36.27,70.71,64.92,94.76,89.99,69.73,,,39.96,74.66,1965970,1495508,239,26,5,5,1,1.7385396801621922,0.3343345538773447,15.981191675337078,0.5215619040486577,0.4012014646528136,100.0,Exact
Bhind,Madhya Pradesh,900,66.93,28.54,978.56,98.15,95.49,79.86,30.96,30.98,73.79,63.12,93.53,93.52,70.74,,,32.23,75.6,1703005,1270083,209,32,8,2,1,2.5195203778020807,0.6298800944505202,16.455617467519836,0.7558561133406242,0.7558561133406242,100.0,Exact
Gwalior,Madhya Pradesh,866,72.19,24.36,902.05,99.5,98.6,83.16,69.8,40.62,78.1,68.85,94.75,94.21,80.45,,,40.14,78.39,2032036,758244,121,50,6,4,1,6.594183402704142,0.7913020083244972,15.957923834544026,1.9782550208112428,0.9495624099893966,100.0,Exact
Datia,Madhya Pradesh,906,67.39,24.09,916.0,99.77,95.82,66.78,31.2,30.87,71.16,54.16,89.44,88.61,79.61,,,36.77,72.76,786754,604772,110,13,4,2,1,2.149570416619817,0.6614062820368668,18.18867275601384,0.6448711249859451,0.7936875384442401,100.0,Exact
Shivpuri,Madhya Pradesh,810,61.44,27.83,897.8,97.19,86.8,55.49,32.67,38.92,62.45,52.71,94.46,93.97,63.05,,,39.18,70.54,1726050,1430627,251,20,9,0,1,1.3979884344416815,0.6290947954987569,17.54475485224311,0.4193965303325045,0.7549137545985082,100.0,Exact
Tikamgarh,Madhya Pradesh,630,66.82,26.55,912.0,99.7,79.95,56.58,32.13,40.48,70.63,64.15,89.8,93.68,,,,27.5,67.48,1445166,1195293,148,14,7,0,1,1.1712609376947745,0.5856304688473872,12.381901341344758,0.3513782813084323,0.7027565626168647,100.0,Exact
Chhatarpur,Madhya Pradesh,935,65.06,29.62,928.94,96.76,86.5,55.46,30.13,17.08,63.68,36.88,85.22,84.44,72.91,,,45.11,87.21,1762375,1363359,239,42,11,1,1,3.080626599450328,0.8068307760465147,17.530232315919726,0.9241879798350984,0.9681969312558174,100.0,Exact
Panna,Madhya Pradesh,946,63.65,27.47,956.23,95.79,85.53,43.81,22.1,12.56,62.94,30.87,84.04,85.98,64.47,,,45.07,74.46,1016520,891185,157,18,5,1,1,2.019782648944944,0.56105073581804,17.616993104686458,0.6059347946834832,0.673260882981648,100.0,Exact
Sagar,Madhya Pradesh,925,76.43,26.94,937.49,98.6,86.69,68.81,32.74,27.47,74.33,35.91,86.89,82.46,75.89,,53.0,42.66,83.28,2378458,1669662,268,45,9,5,1,2.6951562651602536,0.5390312530320508,16.05115286806551,0.8085468795480762,0.6468375036384609,100.0,Exact
Damoh,Madhya Pradesh,942,70.31,28.37,953.38,97.28,80.98,40.63,28.08,21.56,68.29,46.43,84.98,85.19,60.78,,66.97,40.26,76.25,1264219,1013668,178,20,6,1,1,1.9730325905523307,0.5919097771656993,17.559990055915744,0.5919097771656993,0.710291732598839,100.0,Exact
Satna,Madhya Pradesh,666,71.91,27.48,1014.42,97.75,92.67,55.36,35.24,22.0,73.02,51.5,85.53,86.34,,,,49.38,81.82,2228935,1754517,307,53,12,3,1,3.0207743783616805,0.6839489158554748,17.497693097302562,0.906232313508504,0.8207386990265697,100.0,Exact
Rewa,Madhya Pradesh,859,65.22,28.63,1054.68,96.52,82.08,46.05,21.36,29.37,67.74,32.99,80.43,79.87,70.34,,69.54,36.97,78.0,2365106,1969321,322,44,10,3,1,2.2342726249301155,0.5077892329386626,16.350813300624935,0.6702817874790346,0.6093470795263951,100.0,Exact
Umaria,Madhya Pradesh,979,68.02,26.09,1026.42,98.17,79.48,53.69,26.86,19.86,67.66,48.86,92.19,85.61,90.64,,,45.25,71.48,644758,534214,125,13,5,0,1,2.433481713320879,0.935954505123415,23.39886262808537,0.7300445139962637,1.123145406148098,100.0,Exact
Neemuch,Madhya Pradesh,962,64.12,23.83,981.78,99.55,91.73,68.91,52.39,43.34,68.45,60.58,97.5,96.99,88.67,,,33.0,77.18,826067,580837,105,19,2,3,1,3.271141473425419,0.344330681413202,18.077360774193103,0.9813424420276255,0.4131968176958424,100.0,Exact
Mandsaur,Madhya Pradesh,932,63.09,22.92,973.72,99.93,77.55,65.35,45.57,48.43,67.21,60.78,99.35,96.38,75.11,,,30.93,65.37,1340411,1062807,179,41,7,3,1,3.8577088784699383,0.6586332231534041,16.842192420637048,1.1573126635409814,0.7903598677840848,100.0,Exact
Ratlam,Madhya Pradesh,915,66.17,28.18,991.35,98.97,90.98,69.4,53.09,37.89,63.41,65.09,95.19,96.12,93.0,,,28.99,74.01,1455069,1020038,197,34,8,2,1,3.333209154953051,0.7842845070477766,19.3130059860515,0.9999627464859152,0.941141408457332,100.0,Exact
Ujjain,Madhya Pradesh,902,68.92,23.68,956.56,99.27,94.66,72.83,60.71,35.74,66.31,60.25,97.11,90.32,93.65,,70.72,34.69,81.6,1986864,1207651,211,39,6,6,1,3.229409821214904,0.4968322801869083,17.471935186572942,0.9688229463644712,0.59619873622429,100.0,Exact
Dewas,Madhya Pradesh,953,68.57,25.02,945.56,99.58,93.58,69.61,50.96,35.07,67.29,49.07,92.23,91.85,87.14,,64.65,36.76,79.42,1563715,1111956,211,31,5,4,1,2.7878800959750203,0.449658079995971,18.975570975829974,0.8363640287925063,0.5395896959951653,100.0,Exact
Dhar,Madhya Pradesh,592,59.5,26.89,990.6,97.62,89.18,61.94,44.76,30.25,58.56,76.46,95.45,96.09,,,,28.82,65.0,2185793,1772572,477,53,15,4,1,2.9900054835572267,0.846227967044498,26.91004935201504,0.897001645067168,1.0154735604533978,100.0,Exact
Indore,Madhya Pradesh,868,77.98,23.77,986.8,100.0,98.87,90.02,86.88,40.31,81.71,74.59,96.5,97.8,84.57,,,28.69,78.78,3276697,848988,118,62,7,7,1,7.302812289455209,0.8245110649384915,13.898900808963145,2.190843686836563,0.9894132779261896,100.0,Exact
Barwani,Madhya Pradesh,981,54.1,33.26,996.96,99.32,90.44,60.98,40.46,29.22,52.47,64.22,85.11,89.91,76.14,,,45.84,78.19,1385881,1181812,332,28,11,2,1,2.3692431621950023,0.9307740994337508,28.092454637455024,0.7107729486585007,1.1169289193205012,100.0,Exact
Rajgarh,Madhya Pradesh,898,58.93,26.52,969.25,97.82,74.22,47.84,24.81,27.12,56.5,55.15,91.7,88.19,71.89,,,27.64,77.49,1545814,1269357,217,30,6,4,1,2.3634013126330893,0.4726802625266178,17.095269494712678,0.7090203937899267,0.5672163150319414,100.0,Exact
Vidisha,Madhya Pradesh,910,69.22,29.0,924.42,98.7,95.72,65.19,31.78,48.16,68.89,54.44,90.61,91.58,77.96,,,36.54,52.25,1458875,1119257,202,31,7,2,1,2.769694538430405,0.6254148957746076,18.047686992352965,0.8309083615291216,0.7504978749295292,100.0,Exact
Bhopal,Madhya Pradesh,376,78.27,22.51,927.3,99.59,96.73,79.57,83.61,50.65,81.28,64.57,98.26,92.14,,,,19.88,68.47,2371061,454010,66,59,3,4,1,12.995308473381645,0.660778396951609,14.537124732935398,3.898592542014493,0.7929340763419308,100.0,Exact
Sehore,Madhya Pradesh,933,68.46,25.56,894.04,99.16,92.2,75.16,33.73,33.24,69.68,44.97,94.67,86.93,60.33,,70.84,21.87,82.37,1311332,1062870,162,25,8,3,1,2.352122084544676,0.7526790670542964,15.241751107849502,0.7056366253634028,0.9032148804651556,100.0,Exact
Raisen,Madhya Pradesh,463,73.31,26.08,900.15,99.32,92.43,69.6,38.91,40.98,78.63,56.59,96.03,91.14,,,,30.38,61.13,1331597,1028172,188,27,6,6,1,2.626019771011076,0.5835599491135725,18.2848784055586,0.7878059313033229,0.700271938936287,100.0,Exact
Betul,Madhya Pradesh,911,71.24,24.33,993.43,98.11,87.09,59.83,36.02,51.27,76.06,74.02,87.61,83.46,80.91,,,30.75,57.76,1575362,1266211,321,38,10,1,1,3.001079598897814,0.7897577891836353,25.35122503279469,0.9003238796693441,0.9477093470203622,100.0,Exact
Harda,Madhya Pradesh,980,74.11,24.27,961.91,98.84,92.32,68.8,57.62,33.32,73.94,71.85,88.36,84.07,90.8,,58.23,38.83,85.61,570465,451101,81,8,4,0,1,1.7734387642678693,0.8867193821339346,17.956067488212174,0.5320316292803607,1.0640632585607217,100.0,Exact
Hoshangabad,Madhya Pradesh,942,73.99,24.74,951.04,97.22,93.53,68.49,47.31,28.62,73.55,31.46,91.75,82.02,73.45,,56.17,34.84,78.79,1241350,851364,161,21,5,3,1,2.4666300195920896,0.5872928618076404,18.91083015020602,0.7399890058776271,0.7047514341691685,100.0,Exact
Katni,Madhya Pradesh,739,71.36,25.31,978.5,97.88,93.98,53.48,29.53,18.13,72.03,52.88,91.75,93.3,,,,49.52,78.69,1292042,1028499,169,25,7,1,1,2.430726719228701,0.6806034813840363,16.43171262198602,0.7292180157686105,0.8167241776608437,100.0,Exact
Jabalpur,Madhya Pradesh,213,69.98,23.36,964.77,99.65,97.99,61.93,28.46,61.17,72.44,,94.73,94.73,,,,,,2463289,1023255,181,54,7,5,1,5.277276925106644,0.6840914532545651,17.688650434153754,1.5831830775319935,0.8209097439054781,100.0,Exact
Dindori,Madhya Pradesh,951,64.79,27.17,1036.7,97.41,66.07,47.85,12.14,47.23,66.79,56.5,77.62,84.33,80.33,,,38.91,78.12,704524,672206,189,25,7,0,1,3.719098014596716,1.0413474440870805,28.11638099035117,1.115729404379015,1.2496169329044966,100.0,Exact
Mandla,Madhya Pradesh,971,68.31,25.05,1052.48,96.82,79.7,58.43,22.3,42.64,69.07,54.42,87.61,76.66,88.87,,,32.05,70.24,1054905,924716,275,33,10,1,1,3.568663243633721,1.0814131041314308,29.73886036361434,1.0705989730901162,1.2976957249577168,100.0,Exact
Chhindwara,Madhya Pradesh,926,73.09,22.51,1032.35,98.89,89.06,77.09,43.59,48.45,75.03,66.95,92.16,92.31,,,,23.89,50.48,2090922,1585739,313,71,9,6,1,4.477407694456653,0.5675587218325336,19.738431103731447,1.343222308336996,0.6810704661990403,100.0,Exact
Seoni,Madhya Pradesh,909,71.32,24.21,1089.43,99.2,79.12,56.2,28.98,44.62,73.74,64.5,94.81,86.12,88.84,,,23.49,71.75,1379131,1215241,284,38,5,3,1,3.1269517733519523,0.4114410228094673,23.36985009557775,0.9380855320055858,0.4937292273713609,100.0,Exact
Balaghat,Madhya Pradesh,830,72.75,23.07,1037.0,98.68,83.33,79.57,31.11,68.38,79.79,69.12,95.1,97.69,,,,41.88,56.75,1701698,1456882,294,42,7,3,1,2.8828690312599097,0.4804781718766516,20.18008321881937,0.864860709377973,0.576573806251982,100.0,Exact
Guna,Madhya Pradesh,955,61.43,28.61,906.75,98.28,81.35,55.64,34.49,43.09,56.77,68.34,97.98,92.8,78.78,,,31.88,75.12,1241519,928844,162,22,6,1,1,2.368535512960196,0.6459642308073261,17.441034231797804,0.7105606538880587,0.7751570769687913,100.0,Exact
Ashoknagar,Madhya Pradesh,827,62.4,28.59,934.91,98.59,90.07,53.67,20.3,34.22,61.25,57.92,91.32,92.07,69.12,,,32.56,59.67,845071,691387,133,11,3,2,1,1.59100474842599,0.4339103859343609,19.236693776423333,0.477301424527797,0.5206924631212331,100.0,Exact
Shahdol,Madhya Pradesh,868,67.2,24.7,979.09,97.48,79.16,61.41,26.54,58.42,72.07,57.38,85.63,86.86,86.13,,,43.97,57.28,1066063,846463,229,32,8,2,1,3.780436947627953,0.9451092369069884,27.053751906462537,1.1341310842883858,1.1341310842883858,100.0,Exact
Anuppur,Madhya Pradesh,948,64.98,24.11,1008.31,97.01,79.75,69.42,21.66,52.75,74.95,63.55,84.8,85.26,86.57,,,24.04,49.18,749237,543996,162,22,9,0,1,4.044147383436643,1.6544239295877177,29.77963073257892,1.213244215030993,1.985308715505261,100.0,Exact
Sidhi,Madhya Pradesh,978,66.68,30.68,1052.51,96.37,83.65,44.71,20.86,26.12,71.7,39.35,83.79,75.89,78.17,,65.32,39.08,72.46,1127033,1033912,194,29,7,0,1,2.804880879610644,0.6770402123198106,18.76368588429189,0.8414642638831932,0.8124482547837728,100.0,Exact
Singrauli,Madhya Pradesh,706,60.88,29.54,914.6,92.7,77.9,52.57,31.67,58.46,65.36,58.07,69.85,77.53,76.92,,,37.29,56.57,1178273,951487,205,19,7,0,1,1.996874366123762,0.7356905559403334,21.545223423966902,0.5990623098371286,0.8828286671284,100.0,Exact
Jhabua,Madhya Pradesh,960,45.88,38.87,1061.39,98.88,85.19,57.63,17.46,43.7,38.6,63.61,92.85,94.19,88.88,,,49.33,80.08,1025048,933065,294,19,8,2,1,2.0362997218843275,0.8573893565828747,31.509058854420644,0.6108899165652982,1.0288672278994495,100.0,Exact
Alirajpur,Madhya Pradesh,974,45.36,34.76,1008.29,98.51,89.62,84.69,17.37,42.53,42.13,54.71,83.17,87.48,84.13,,,34.6,76.37,728999,671925,194,15,8,0,1,2.2323920080366118,1.1906090709528594,28.87226997060684,0.6697176024109833,1.428730885143431,100.0,Exact
